Equipment,Family_type,Scaling_quantity,Unit,Min_Scale,Max_Scale,Min_Cost,Max_Cost,Scaling_Factor,CEPCI
Facultative lagoon,including earthwork but excluding liner,Volume,m3,4000,300000,47826,940711,0.69,1000.00
Conventional activated sludge process,"including basin, aeration system, recycle pumping and secondary clarifier",volumetric flowrate,L/s,0.5,4400,166421,105145411,0.71,1000.00
Extended aeration,"package plant including pumps, aeration basins, air system and secondary clarifier",volumetric flowrate,L/s,0.1,44,125997,5830888,0.63,1000.00
Contact stabilization,"package plant including pumps, aeration basin, air system and secondary clarifier",volumetric flowrate,L/s,4.4,90,874191,3504043,0.46,1000.00
Oxidation ditch,"including concrete basin, aeration equipment and secondary clarifier, installed",volumetric flowrate,L/s,2.2,46,643011,2450000,0.44,1000.00
Oxidation ditch,"including concrete basin, aeration equipment and secondary clarifier, installed",volumetric flowrate,L/s,46,440,2450000,13629947,0.76,1000.00
Turbine,"c/s open tank, supported at the top, 50ï¿½100 rpm, single impeller including TEFC motor, gear reduction unit excluding starter, wiring",Power ,kW,1.7,88,8560,50556,0.45,1000.00
Turbine,"c/s closed tank, with mechanical seal, 50ï¿½100 rpm, single impeller including TEFC motor, gear reduction unit excluding starter, wiring",Power ,kW,0.7,5,11088,20000,0.3,1000.00
Turbine,"c/s closed tank, with mechanical seal, 50ï¿½100 rpm, single impeller including TEFC motor, gear reduction unit excluding starter, wiring (large)",Power ,kW,5,400,20000,232681,0.56,1000.00
Propellor,"c/s portable, clamp-on, including TEFC motor, drive and gear reduction",Power ,kW,0.2,5.5,1264,10214,0.58,1000.00
Propellor,"c/s side entry, including TEFC motor, gear reducer, fixed plate, mechanical seal",Power ,kW,0.7,3.5,11785,16000,0.19,1000.00
Propellor,"c/s side entry, including TEFC motor, gear reducer, fixed plate, mechanical seal",Power ,kW,3.5,150,16000,97161,0.48,1000.00
Propellor,"c/s top entry, open tank, including impeller, shaft, TEFC motor and gear reduction unit but excluding starter, wiring, taxes, and duties",Power ,kW,0.2,1.8,2138,6000,0.42,1000.00
Propellor,"c/s top entry, open tank, including impeller, shaft, TEFC motor and gear reduction unit but excluding starter, wiring, taxes, and duties (large)",Power ,kW,1.8,75,6000,42345,0.52,1000.00
Anchor,"c/s closed tank including TEFC motor, gear reduction, stuffing box",Power ,kW,0.7,8,6502,17654,0.41,1000.00
Gas sparger,air diffuser only: unit price for 5.3 m sections of 23 cm diameter sparger including fittings to connect into gallery but excluding pipe to compressor or blower,air diffuser only: unit price for 5.3 m sections of 23 cm diameter sparger including fittings to connect into gallery but excluding pipe to compressor or blower,m2,0.4,35,1200,120000,1,1000.00
Thickener,"(mechanism only), c/s including drive, access platform, central shaft, bridge, rake and scraping arm, handrail, surface skimmer, excluding inlet pipe and overflow launders","(mechanism only), c/s including drive, access platform, central shaft, bridge, rake and scraping arm, handrail, surface skimmer, excluding inlet pipe and overflow launders",m2,60,7000,71397,1365170,0.62,1000.00
Double cone,including TEFC motor and drive,including TEFC motor and drive,m3,0.8,7,34440,85645,0.42,1000.00
Ribbon,Ribbon,volume,m3,0.9,7,32049,109731,0.6,1000.00
Twin shell,Twin shell,volume,m3,0.4,7,17527,73321,0.5,1000.00
Edge mill,"(Muller mixer; Planetary action vertical, pan mixer): including TEFC motor c/s",power ,kW,3,400,27134,875435,0.71,1000.00
Kneader,"double arm (sigma kneader): horizontal, c/s, jacketed, tilting, nonvacuum, including TEFC motor and gear reduction, drive",power ,kW,2,50,23890,227388,0.7,1000.00
Kneader,"double arm (sigma kneader): horizontal, c/s, jacketed, tilting, vacuum, including TEFC motor, gear reduction, drive and vacuum equipment","double arm (sigma kneader): horizontal, c/s, jacketed, tilting, vacuum, including TEFC motor, gear reduction, drive and vacuum equipment",m3,0.2,0.6,153746,230000,0.31,1000.00
Kneader,"Double arm (sigma kneader): vertical, c/s, jacketed, tilting, non-vacuum, including TEFC motor and gear reduction, drive","Double arm (sigma kneader): vertical, c/s, jacketed, tilting, non-vacuum, including TEFC motor and gear reduction, drive",m3,0.4,3,118131,535378,0.75,1000.00
Bambury,"including motor, gear reduction","including motor, gear reduction",L/s,30,600,185067,1185677,0.62,1000.00
Mechanical surface aeration,"including aerator, open drip proof motor, drive and supports","including aerator, open drip proof motor, drive and supports",kW,0.8,75,15092,190000,0.55,1000.00
Mechanical surface aeration,"including aerator, open drip proof motor, drive and supports (large)","including aerator, open drip proof motor, drive and supports (large)",kW,75,3700,190000,9373333,1,1000.00
Homogenizer,"high pressure, 7 MPa, 316 s/s, with baseplate, gears but excluding motor","high pressure, 7 MPa, 316 s/s, with baseplate, gears but excluding motor",L/s,0,14,35296,795351,0.43,1000.00
Colloid mill,s/s with open drip-proof motor and drive,s/s with open drip-proof motor and drive,kW,3,25,25732,93793,0.61,1000.00
Jaw crusher,c/s with drive but excluding motor,c/s with drive but excluding motor,Mg/h,0.5,30,19355,208029,0.58,1000.00
Jaw crusher,c/s with drive but excluding motor,c/s with drive but excluding motor,Mg/h,350,1000,800000,2565514,1.11,1000.00
Gyratory crusher,c/s with lubrication system but excluding drive and motor,c/s with lubrication system but excluding drive and motor,Mg/h,150,4000,436460,8950251,0.92,1000.00
Roll crusher,"twin, smooth roll, c/s for light duty but cost excludes drive or motor","twin, smooth roll, c/s for light duty but cost excludes drive or motor",kW,0.5,15,10425,255009,0.94,1000.00
Roll crusher,"twin, smooth roll, c/s for heavy duty but cost excludes drive or motor","twin, smooth roll, c/s for heavy duty but cost excludes drive or motor",kW,0.8,200,13388,404149,0.61,1000.00
Roll crusher,"sawtooth, c/s for crusher only excludes drive or motor","sawtooth, c/s for crusher only excludes drive or motor",kW,3,30,9830,38241,0.59,1000.00
Rotary crusher,"c/s, crusher without drive or motor","c/s, crusher without drive or motor",kW,1,100,4477,89337,0.65,1000.00
Cone or shorthead crusher,c/s with drive but excluding motor,c/s with drive but excluding motor,Mg/h,25,1000,113244,1200419,0.64,1000.00
Pulverizer crusher,c/s crusher only excluding drive and motor,c/s crusher only excluding drive and motor,kW,1.5,750,23518,182835,0.33,1000.00
Lump breaker,breaker only excluding drive and motor,breaker only excluding drive and motor,kW,4.5,15,4561,17148,1.1,1000.00
Mill,"(cage), (impactor; micropulverizer): c/s excluding drive and motor","(cage), (impactor; micropulverizer): c/s excluding drive and motor",Mg/h,9,360,21853,199874,0.6,1000.00
Mill,"(swing hammer), including mill, motor, classifier, fan and filter","(swing hammer), including mill, motor, classifier, fan and filter",kW,2,150,12318,406762,0.81,1000.00
Mill,"attrition, mill including drive but excluding motor","attrition, mill including drive but excluding motor",kW,4.5,280,10734,144858,0.63,1000.00
"Mills, fluid energy","mill including all auxiliary equipment (compressor, bag filter)","mill including all auxiliary equipment (compressor, bag filter)",dm3 /s,400,700,1,2,0.88,1000.00
"Mills, roller","(twin or ring roller), mill only excluding drive and motor","(twin or ring roller), mill only excluding drive and motor",kW,7,450,59758,789636,0.62,1000.00
"Mill, ball","c/s excluding liner, drive, motor, guard and ball load","c/s excluding liner, drive, motor, guard and ball load",kW,4.5,4500,39770,5006690,0.7,1000.00
"Mill, rod","c/s excluding liner, drive, motor, guard and ball load","c/s excluding liner, drive, motor, guard and ball load",kW,4.5,4500,36160,6001087,0.74,1000.00
"Mill, autogenous, semi-autogenous","rubber backing and lining, mill plus drive but excluding motor and starter","rubber backing and lining, mill plus drive but excluding motor and starter",kW,38,300,392048,1700000,0.71,1000.00
"Mill, autogenous, semi-autogenous","rubber backing and lining, mill plus drive but excluding motor and starter (large)","rubber backing and lining, mill plus drive but excluding motor and starter (large)",kW,300,4500,1700000,3935838,0.31,1000.00
"Mill, grinding circuit","open circuit ball mill, dry with 100 Mesh product, including classifier, motors, drives, mill, installation and erection within the BL but excluding dust collection, feeder and solids handling","open circuit ball mill, dry with 100 Mesh product, including classifier, motors, drives, mill, installation and erection within the BL but excluding dust collection, feeder and solids handling",Mg/h,0.7,150,137241,4493958,0.65,1000.00
Comminutor,"with gear reduction unit, motor, steel cutters","with gear reduction unit, motor, steel cutters",L/s,4,90,18242,45000,0.29,1000.00
Comminutor,"with gear reduction unit, motor, steel cutters (large)","with gear reduction unit, motor, steel cutters (large)",L/s,90,1000,45000,165166,0.54,1000.00
Demister pad,"Standard glass fibers, s/s construction, medium pressure drop, fine drops. Includes gaskets, cap screws, washer and polygon frame but excluding vessel or tank","Standard glass fibers, s/s construction, medium pressure drop, fine drops. Includes gaskets, cap screws, washer and polygon frame but excluding vessel or tank",Ndm3 /s,4000,90000,84586,795917,0.72,1000.00
Flocculation basin,"including reinforced concrete basin, motors, variable speed drive, horizontal paddle flocculators, excluding upstream rapid mix and downstream settling basin, installed","including reinforced concrete basin, motors, variable speed drive, horizontal paddle flocculators, excluding upstream rapid mix and downstream settling basin, installed",m3,50,1000,141558,545000,0.45,1000.00
Flocculation basin,"including reinforced concrete basin, motors, variable speed drive, horizontal paddle flocculators, excluding upstream rapid mix and downstream settling basin, installed (large)","including reinforced concrete basin, motors, variable speed drive, horizontal paddle flocculators, excluding upstream rapid mix and downstream settling basin, installed (large)",m3,1000,20000,545000,5472548,0.77,1000.00
Flocculation basin,"including reinforced concrete basin, motors, variable speed drive, vertical turbine flocculators (20ï¿½80 1/s) excluding upstream rapid mix and downstream settling basin, installed","including reinforced concrete basin, motors, variable speed drive, vertical turbine flocculators (20ï¿½80 1/s) excluding upstream rapid mix and downstream settling basin, installed",m3,20,1000,20387,205000,0.59,1000.00
Cone agglomerator,"variable speed, variable angle with drive but excluding motor","variable speed, variable angle with drive but excluding motor",Mg/h,0.9,32,42098,334035,0.58,1000.00
Drum granulator,Drum granulator,Drum granulator,Mg/h,0.5,3.5,22682,25000,0.05,1000.00
Drum granulator (medium),Drum granulator (medium),Drum granulator (medium),Mg/h,3.5,23,25000,42353,0.28,1000.00
Drum granulator (large),Drum granulator (large),Drum granulator (large),Mg/h,23,60,40000,76776,0.68,1000.00
Briquetter,Briquetter,Briquetter,Mg/h,3.5,55,42996,212460,0.58,1000.00
Tabletter,Tabletter,Tabletter,Mg/h,0.1,0.4,51528,80000,0.3,1000.00
Tabletter (large),Tabletter (large),Tabletter (large),Mg/h,0.4,3.8,80000,217834,0.44,1000.00
Pellet mill,Pellet mill,Pellet mill,Mg/h,0.4,45,23182,41520,0.12,1000.00
Injection molding machine,Injection molding machine,Injection molding machine,MPa,125,20000,33771,1769123,0.78,1000.00
Extruder,for polymers,for polymers,kW,1.5,220,28699,299252,0.47,1000.00
Pug mill-extruder,Pug mill-extruder,Pug mill-extruder,Mg/h,0.1,18,26902,58624,0.15,1000.00
Flaker,"c/s standard single roll, feed pan, knife and holder, variable speed drive","c/s standard single roll, feed pan, knife and holder, variable speed drive",m2,0.1,18,25367,572055,0.6,1000.00
Prilling tower,"installed tower, spray unit, scrubber, pump, sump, ductwork and piping excluding air pollution control devices","installed tower, spray unit, scrubber, pump, sump, ductwork and piping excluding air pollution control devices",Mg/d,300,1200,7174208,15810594,0.57,1000.00
Cylinder,"vertical, open tank or flat roof, flat bottom including access hole, one 12 cm nozzle, one 15 cm nozzle and four 5 cm nozzles, excluding foundation",Volume,m3,0,7,447,71224,0.93,1000.00
Cylinder,"vertical, atmospheric, open, c/s tank for sedimentation or aeration excluding internals and painting",cross-section,m2,60,500,57683,163022,0.49,1000.00
Cylinder,"vertical, atmospheric, open, reinforced concrete tank for sedimentation or aeration excluding earthwork and mechanism",cross-section,m2,60,325,94767,240000,0.55,1000.00
Cylinder,"vertical, atmospheric, open, reinforced concrete tank for sedimentation or aeration excluding earthwork and mechanism (medium)",cross-section,m2,325,650,240000,429612,0.84,1000.00
Cylinder,"vertical, atmospheric, open, reinforced concrete tank for sedimentation or aeration excluding earthwork and mechanism (large)",cross-section,m2,650,10000,429612,3247286,0.74,1000.00
Pressure vessel,"horizontal or vertical, 1 MPa, cylindrical, dished ends, usual nozzles, access hole, support, excluding internals, c/s","horizontal or vertical, 1 MPa, cylindrical, dished ends, usual nozzles, access hole, support, excluding internals, c/s",Mg,0.4,200,17596,646852,0.58,1000.00
Equalization basin,PM cost including fully installed concrete basin up to a volume of 3000 m3. For larger size use a basin with liner. Cost is for basin only and excluding aeration,volume,m3,40,3000,56863,536859,0.52,1000.00
Horizontal pressure bullet,"1.7 MPa, 0.45 m access hole, five 7.5 cm diameter and four 5 cm diameter nozzles. No internals",volume,m3,50,150,74874,192599,0.86,1000.00
Sphere,"c/s, 0.2 MPa g, ASME construction including supports, ladders, walkways, relief valves, sampling and gauging devices, excluding foundations and dykes",volume,m3,40,1500,118474,1497774,0.7,1000.00
Spheroid,"c/s. 0.2 MPa g, including access holes, relief valves, staircase, instruments excluding foundation and dykes",volume,m3,1200,5000,321811,912107,0.73,1000.00
Underground cavity,salt dome,volume,m3,8000,50000,1371702,5226995,0.73,1000.00
Underground cavity,mined,volume,m3,13000,100000,6772508,22113748,0.58,1000.00
Low pressure tank,"small, vertical cylinder with usual nozzles",volume,m3,4,70,4465,34073,0.71,1000.00
Cone roof,"API, less than 100 m3, API flat bottom, fixed cone roof, including access hole, one 10 cm nozzle, one 15 cm nozzle, four 5 cm nozzles, staircase excluding foundations and dyking",volume,m3,3,100,21769,66857,0.32,1000.00
Cone roof,"API, 100 m3, flat bottom, fixed cone roof, including access hole, one 10 cm nozzle, one 15 cm nozzle, four 5 cm nozzles, staircase excluding foundations and dyking",volume,m3,300,40000,124659,2129061,0.58,1000.00
Cylinder,"vertical, API, movable roof, c/s atmospheric pressure, lifter type, 1.5 m lift, liquid seal, including access holes, relief valves, roof supports, glide slides, spiral staircase, ladder, usual flanged connections excluding foundation and dyking",Volume,m3,1000,12000,292281,1398571,0.63,1000.00
Bin/surge/catenary/pebble storage,Bin/surge/catenary/pebble storage,Volume,m3,10,10000,34708,3093313,0.65,1000.00
Conical hopper,Conical hopper,Volume,m3,1,15,196,2303,0.91,1000.00
Bin activator,vibrating,diameter,cm ,8,13.5,15425,27000,1.07,1000.00
Bag sealer,"for kraft bags with polymer liner, FOB including preheater but excluding vacuum attachment to remove dust, cooler, conveyors and kiln section",heater length,cm ,40,180,66035,144360,0.52,1000.00
Bag vibrating packers,,bag width,cm ,30,100,4200,14000,1,1000.00
Automatic bulk weighing scales,"for free flowing material, not dust enclosed, up to 2 weighings/min and capacity up to 0.06 m3/s ï¿½ 1 %","for free flowing material, not dust enclosed, up to 2 weighings/min and capacity up to 0.06 m3/s ï¿½ 1 %",m3,0.2,0.9,19056,35840,0.42,1000.00
Blender,Kneader,Kneader,m3,0.1,3,76455,318147,0.47,542.00
Blender,Ribbon,Ribbon,m3,0.7,11,15610,64209,0.51,542.00
Blender,Rotary,Rotary,m3,0.7,11,15610,64209,0.51,542.00
Centrifuge,Auto Batch Separator,Auto Batch Separator,m,0.5,1.7,40953,134599,0.97,542.00
Centrifuge,Centrifugal Separator,Centrifugal Separator,m,0.5,1,17066,31362,0.88,542.00
Centrifuge,Oscillating Screen,Oscillating Screen,m,0.5,1.1,80223,102145,0.31,542.00
Centrifuge,Solid Bowl w/o Motor,Solid Bowl w/o Motor,m,0.3,2,31243,286502,1.17,542.00
Compressor w/o electric motors,Centrifugal,Centrifugal,kW,450,3000,204540,818283,0.73,542.00
Compressor w/o electric motors,Axial,Axial,kW,450,3000,204540,818283,0.73,542.00
Compressor w/o electric motors,Rotary,Rotary,kW,18,950,16270,13428022,1.69,542.00
Compressor w/o electric motors,Reciprocating,Reciprocating,kW,450,3000,204540,818283,0.73,542.00
Conveyor,Apron,Apron,m2,1,15,11500,72719,0.68,542.00
Conveyor,Belt,Belt,m2,0.5,325,13651,669824,0.6,542.00
Conveyor,Pneumatic,Pneumatic,m2,0.8,65,57248,386844,0.43,542.00
Conveyor,Screw,Screw,m2,0.5,30,4779,36866,0.5,542.00
Crystallizer,Batch,Batch,m3,1.5,30,47814,156259,0.4,542.00
Drive (electric),Explosion Proof,Explosion Proof,kW,75,2600,42107,221290,0.47,542.00
Drive (electric),Totally Enclosed,Totally Enclosed,kW,75,2600,31851,192255,0.51,542.00
Drive (electric),Open/Drip Proof,Open/Drip Proof,kW,75,2600,42436,159358,0.37,542.00
Drive (non-electric),Gas Turbine,Gas Turbine,kW,7500,23000,4370510,8878786,0.63,542.00
Drive (non-electric),Steam Turbine,Steam Turbine,kW,70,7500,65022,471588,0.42,542.00
Drive (non-electric),Internal Combustion,Internal Combustion,kW,10,10000,5576,1484256,0.81,542.00
Dryer,Drum,Drum,m2,0.5,50,40958,341341,0.46,542.00
Dryer,"Rotary, Gas Fired","Rotary, Gas Fired",m2,5,100,27470,409740,0.9,542.00
Dryer,Tray,Tray,m2,1.8,20,9143,21237,0.35,542.00
Dust collector,Baghouse,Baghouse,m3/s,0.1,350,18837,1682808,0.54,542.00
Dust collector,Cyclone Scrubbers,Cyclone Scrubbers,m3/s,0.1,200,1638,136524,0.55,542.00
Dust collector,Electrostatic Precipitator,Electrostatic Precipitator,m3/s,0.1,200,1638,136524,0.55,542.00
Dust collector,Venturi,Venturi,m3/s,0.1,200,1638,136524,0.55,542.00
Evaporator,Forced Circulation,Forced Circulation,m2,5,1000,273053,6826668,0.61,542.00
Evaporator,Falling Film,Falling Film,m2,50,500,307191,2048364,0.82,542.00
Evaporator,Agitated (Scraped Wall),Agitated (Scraped Wall),m2,0.5,5,122784,170926,0.14,542.00
Evaporator,Short Tube,Short Tube,m2,10,100,116040,286688,0.39,542.00
Evaporator,Long Tube,Long Tube,m2,100,10000,336363,1978831,0.38,542.00
Fan (with electric motors),Centrifugal Radial Fan,Centrifugal Radial Fan,m3/s,1,100,4724,57347,0.54,542.00
Fan (with electric motors),Centrifugal Backward curved fan,Centrifugal Backward curved fan,m3/s,1,100,3036,37283,0.54,542.00
Fan (with electric motors),Axial Tube Fan,Axial Tube Fan,m3/s,1,100,1502,24570,0.61,542.00
Fan (with electric motors),Axial Vane Fan,Axial Vane Fan,m3/s,1,100,2048,25253,0.55,542.00
Filter,Bent,Bent,m2,0.9,115,165133,1867567,0.5,542.00
Filter,Cartridge,Cartridge,m2,15,200,17503,128321,0.77,542.00
Filter,Disc and Drum,Disc and Drum,m2,0.9,300,86004,818818,0.39,542.00
Filter,Gravity,Gravity,m2,0.5,80,20479,218419,0.47,542.00
Filter,Leaf,Leaf,m2,0.6,235,6553,339794,0.66,542.00
Filter,Pan,Pan,m2,0.9,300,86004,818818,0.39,542.00
Filter,Plate and Frame,Plate and Frame,m2,0.5,80,20479,218419,0.47,542.00
Filter,Table,Table,m2,0.9,115,165133,1867567,0.5,542.00
Filter,Tube,Tube,m2,0.9,115,165133,1867567,0.5,542.00
Fired heater (reactive heater),Reformer Furnace,Reformer Furnace,kW,3000,100000,539037,9698594,0.82,542.00
Fired heater (reactive heater),Pyrolysis Furnace,Pyrolysis Furnace,kW,3000,100000,448907,7355442,0.8,542.00
Fired heater (non-reactive),Process Heater,Process Heater,kW,1000,100000,644776,5260279,0.46,542.00
Fired heater (thermal fluid),Hot Water,Hot Water,kW,650,10750,37868,302886,0.74,542.00
Fired heater (thermal fluid),"Molten Salt, Mineral Oil, and Silicon Oils","Molten Salt, Mineral Oil, and Silicon Oils",kW,650,10750,54093,543714,0.82,542.00
Fired heater (thermal fluid),Diphenyl Based Oils,Diphenyl Based Oils,kW,650,10750,65184,728175,0.86,542.00
Fired heater (thermal fluid),Packaged Steam Boilers,Packaged Steam Boilers,kW,1200,9400,344174,1608991,0.75,542.00
Heat Exchanger,Double Pipe,Double Pipe,m2,1,10,3017,5092,0.23,542.00
Heat Exchanger,Multiple Pipe,Multiple Pipe,m2,10,100,5092,46774,0.96,542.00
Heat Exchanger,"Fixed Tube, Sheet, or U Bend","Fixed Tube, Sheet, or U Bend",m2,10,1000,20908,105077,0.35,542.00
Heat Exchanger,Floating Head,Floating Head,m2,10,1000,27140,191165,0.42,542.00
Heat Exchanger,Bayonet,Bayonet,m2,10,1000,32034,355966,0.52,542.00
Heat Exchanger,Kettle Reboiler,Kettle Reboiler,m2,10,100,29350,133785,0.66,542.00
Heat Exchanger,Scraped Wall,Scraped Wall,m2,2,20,15018,122867,0.91,542.00
Heat Exchanger,Teflon Tube,Teflon Tube,m2,1,10,8738,46420,0.73,542.00
Heat Exchanger,Air Cooler,Air Cooler,m2,10,10000,28354,795076,0.48,542.00
Heat Exchanger,Spiral Tube - Shell and Tube,Spiral Tube - Shell and Tube,m2,1,100,13379,170612,0.55,542.00
Heat Exchanger,Spiral Plate,Spiral Plate,m2,1,100,61846,121537,0.15,542.00
Heat Exchanger,Flat Plate,Flat Plate,m2,10,1000,63068,532119,0.46,542.00
Mixer,Impeller,Impeller,kW,5,150,29927,323676,0.7,542.00
Mixer,Propeller,Propeller,kW,5,500,35218,341419,0.49,542.00
Mixer,Turbine,Turbine,kW,5,150,7728,42075,0.5,542.00
Mixer,Centrifugal Pump,Centrifugal Pump,kW,1,300,3345,39895,0.43,542.00
Mixer,Positive Displacement pump,Positive Displacement pump,kW,1,100,4096,28675,0.42,542.00
Mixer,Reciprocating pump,Reciprocating pump,kW,0.1,200,6467,238849,0.47,542.00
Reactor,Autoclave,Autoclave,m3,1,15,49421,111649,0.3,542.00
Reactor,Fermenter,Fermenter,m3,0.1,35,5104,114990,0.53,542.00
Reactor,Inoculum Tank,Inoculum Tank,m3,0.1,1,2641,8529,0.44,542.00
Reactor,Jacketed Agitated,Jacketed Agitated,m3,0.1,35,5104,114990,0.53,542.00
Reactor,Jacketed Non-Agitated,Jacketed Non-Agitated,m3,5,45,9811,48724,0.73,542.00
Reactor,Mixer/Settler,Mixer/Settler,m3,0,6,16651,156886,0.45,542.00
Screen,DSM,DSM,m2,0.3,6,4920,33440,0.64,542.00
Screen,Rotary,Rotary,m2,0.3,15,16382,58360,0.32,542.00
Screen,Stationary,Stationary,m2,2,11,16383,24027,0.22,542.00
Screen,Vibrating,Vibrating,m2,0.3,15,16382,58360,0.32,542.00
Storage Tank,Fixed Roof,Fixed Roof,m3/s,90,30000,57749,1269975,0.53,542.00
Storage Tank,Floating Roof,Floating Roof,m3/s,1000,40000,245759,2020439,0.57,542.00
Turbine,Axial,Axial,kW,100,4000,102214,527502,0.44,542.00
Turbine,Radial,Radial,kW,100,1500,53531,318906,0.66,542.00
Vaporizer,Jacketed Vessel,Jacketed Vessel,m3,1,100,10240,273092,0.71,542.00
Vaporizer,Internal Coil,Internal Coil,m3,1,100,14901,290034,0.64,542.00
Vaporizer,Jacketed Vessel w/ Coil,Jacketed Vessel w/ Coil,m3,1,100,14901,290034,0.64,542.00
Vessel,Vertical Vessel,Vertical Vessel,m3,0.3,520,2676,439533,0.68,542.00
Vessel,Horizontal Vessel,Horizontal Vessel,m3,0.1,628,2539,286223,0.54,542.00
Tower Tray,Sieve,Sieve,m2,0.1,12.3,1389,12226,0.42,542.00
Tower Tray,Valve,Valve,m2,0.7,10.5,2516,20872,0.78,542.00
Tower Tray,Demister,Demister,m2,0.7,10.5,2013,16698,0.78,542.00
Tower Packing,Ceramic,Ceramic,m3,0,628,13,225890,0.98,542.00
Tower Packing,304 s/s,305 s/s,m3,0,628,13,225890,0.98,542.00
Tower Packing,Plastic Saddle,Plastic Saddle,m3,0,628,13,225890,0.98,542.00
Agitators,Propeller for open tank,Motor,hp,1,8,2610,5293,0.34,567.00
Agitators,Propeller for closed vessel,Motor,hp,1,8,3740,5326,0.17,567.00
Agitators,Turbine for open tank,Motor,hp,2,60,5423,34034,0.54,567.00
Agitators,Turbine for closed vessel,Motor,hp,2,60,6094,42351,0.57,567.00
Autoclaves (also see reactors),"Autoclave, steel",Vessel volume,gal,30,8000,6947,126860,0.52,567.00
Autoclaves (also see reactors),"Autoclave, stainless steel",Vessel volume,gal,30,2000,16142,184422,0.58,567.00
Autoclaves (also see reactors),"Autoclave, glass lined",Vessel volume,gal,30,4000,13084,183746,0.54,567.00
Boilers,Steam boiler,Heat absorbed,Btu/hr,500000,70000000,10170,456898,0.77,567.00
Crystallizers,"Crystallizer, continuous cooling, jacketed scraped wall",Length,ft,15,200,100898,572258,0.67,567.00
Crystallizers,"Crystallizer, continuous evaporative, forced circulation",Tons crystals/day,ton/day,10,1000,143688,1894179,0.56,567.00
Crystallizers,"Crystallizer, continuous evaporative, draft-tube baffled",Tons crystals/day,ton/day,10,250,136420,1036527,0.63,567.00
Crystallizers,"Crystallizer, batch evaporative",Volume,ft3,50,1000,230626,787645,0.41,567.00
Non-Electric Drives,Steam turbine (noncondensing),Shaft power,hp,250,10000,102545,465326,0.41,567.00
Non-Electric Drives,Steam turbine (condensing),Shaft power,hp,250,10000,265289,1181825,0.41,567.00
Non-Electric Drives,Gas turbine,Shaft power,hp,100,10000,93876,3108516,0.76,567.00
Non-Electric Drives,Internal combustion engine,Shaft power,hp,100,4000,50217,798722,0.75,567.00
Dryers,"Dryer, batch tray",Tray area,ft2,20,200,12555,28107,0.35,567.00
Dryers,"Dryer, direct-heat rotary",Drum peripheral area,ft3,200,3000,211370,1307130,0.67,567.00
Dryers,"Dryer, indirect-heat steam-tube rotary",Heat-transfer area,ft2,100,1400,60512,499742,0.8,567.00
Dryers,"Dryer, drum",Heat-transfer area,ft3,60,480,237927,659110,0.49,567.00
Dryers,"Dryer, spray",Evaporation rate,lb/hr,30,3000,74123,362599,0.34,567.00
Dust Collectors,Bag filter,"Gas flow rate, actual",ft3/min,5000,2000000,43613,6740417,0.84,567.00
Dust Collectors,Cyclone,"Gas flow rate, actual",ft3/min,200,100000,1900,99888,0.64,567.00
Dust Collectors,Electrostatic precipitator,"Gas flow rate, actual",ft3/min,10000,2000000,103878,5938363,0.76,567.00
Dust Collectors,Venturi scrubber,"Gas flow rate, actual",ft3/min,2000,20000,25239,88958,0.55,567.00
Evaporators,"Evaporator, horizontal tube",Heat-transfer area,ft2,100,8000,52861,539229,0.53,567.00
Evaporators,"Evaporator, long-tube vertical (rising film)",Heat-transfer area,ft2,100,8000,81377,906152,0.55,567.00
Evaporators,"Evaporator, forced circulation",Heat-transfer area,ft2,150,8000,102779,1655005,0.7,567.00
Evaporators,"Evaporator, falling film",Heat-transfer area,ft2,150,4000,413488,3855861,0.68,567.00
Expression,Screw press,Wet solids flow rate,lb/hr,150,12000,47800,400379,0.49,567.00
Expression,Roll press,Wet solids flow rate,lb/hr,150,12000,29231,198453,0.44,567.00
Fired Heaters/Furnaces,"Heater, general purpose (box furnace)",Heat duty,Btu/hr,10000000,500000000,268416,5787628,0.79,567.00
Fired Heaters/Furnaces,"Heater, reformer",Heat absorbed,Btu/hr,10000000,50000000,455574,1677740,0.81,567.00
Fired Heaters/Furnaces,"Heater, pyrolysis",Heat absorbed,Btu/hr,10000000,500000000,344721,8196590,0.81,567.00
Fired Heaters/Furnaces,"Heater, hot water",Heat absorbed,Btu/hr,500000,70000000,43748,1350389,0.69,567.00
Fired Heaters/Furnaces,"Heater, molten salt, mineral and silicon oils",Heat absorbed,Btu/hr,500000,70000000,62021,1465747,0.64,567.00
Fired Heaters/Furnaces,"Heater, Dowtherm A",Heat absorbed,Btu/hr,500000,70000000,73147,1816275,0.65,567.00
Heat Exchangers,"Heat exchanger, air-cooled fin-fan",Bare-tube heat-transfer area, ft2,40,150000,12399,333418,0.4,567.00
Heat Exchangers,"Heat exchanger, compact plate and frame",Heat-transfer area, ft2,150,15000,82601,571463,0.42,567.00
Heat Exchangers,"Heat exchanger, compact spiral plate",Heat-transfer area, ft2,20,2000,24739,171154,0.42,567.00
Heat Exchangers,"Heat exchanger, compact spiral tube",Heat-transfer area, ft2,1,500,3646,236275,0.67,567.00
Liquid-Liquid Extractors,Rotating-disk contactor,"S = (Height, ft)*(Diameter, ft)1.5",ft2.5,3,2000,913,215165,0.84,567.00
Mixers,"Kneader, tilting double arm",Volume,ft3,10,56,7760,21076,0.58,567.00
